policy,gap_closed_high_risk,gap_closed_clinical_loss,expected_lost_H,expected_lost_H_se,expected_lost,expected_lost_se,weighted_loss,weighted_loss_se,total_cost,total_cost_se,cost_per_therapy,cost_per_therapy_se,mean_hold_H,mean_hold_M,mean_hold_L,treated,lost,failures,recollections,spillover,spillover_share,lost_gate_recollection,lost_k_remake,lost_backstop,idle_slot_days,n_rep
fifo,0.0,0.0,6.275053904984636,0.0965886436908781,9.67673583105424,0.13750454859655947,24.821016974258825,0.3610805277615961,15642297.866666667,14736.228730887768,78303.615459107,91.50709321105711,9.568888888888889,7.3125,8.185555555555556,199.76666666666668,0.23333333333333334,16.5,16.266666666666666,4.133333333333334,0.020666666666666667,0.16666666666666666,0.06666666666666667,0.0,0.0,30
survival_index,0.9698186217338334,0.9587037046338523,4.236729755334538,0.02849935612239882,7.637320652524148,0.06893803093216855,18.266158845690956,0.1429727609861186,15646983.533333333,15255.222001190079,78261.28062110553,83.71249824656333,0.4022222222222222,2.67375,23.77388888888889,199.93333333333334,0.06666666666666667,16.5,16.433333333333334,4.333333333333333,0.021666666666666667,0.0,0.06666666666666667,0.0,0.0,30
static_survival,0.5431966254864904,0.5168956541588232,5.133385994176643,0.14110401596477645,8.602661537657516,0.15321275225459186,21.28689306933621,0.4389425526935294,15631531.266666668,14423.865814630537,78394.149411191,98.31810857711928,3.23,5.6025,16.834444444444447,199.4,0.6,16.5,15.9,3.8666666666666667,0.01933333333333333,0.5333333333333333,0.06666666666666667,0.0,0.0,30
adaptive_mpc,0.9698186217338334,0.9587058091940746,4.236729755334538,0.02849935612239882,7.635651064791173,0.06884685299753338,18.2661444563717,0.14267755833828402,15646983.533333333,15255.222001190079,78261.28062110553,83.71249824656333,0.4022222222222222,2.6925000000000003,23.655555555555555,199.93333333333334,0.06666666666666667,16.5,16.433333333333334,4.433333333333334,0.022166666666666668,0.0,0.06666666666666667,0.0,0.0,30
best_achievable,1.0,1.0,4.173295798911153,0.027206136914776503,7.529892689658824,0.06692585810382846,17.983807420477767,0.13906736932341718,15642255.266666668,14615.481402111904,78237.52048710219,76.96894863849701,0.09666666666666666,2.1645833333333333,23.921666666666667,199.93333333333334,0.06666666666666667,16.3,16.3,5.333333333333333,0.02666666666666667,0.0,0.0,0.0,9.1,30
