policy,gap_closed_high_risk,gap_closed_clinical_loss,expected_lost_H,expected_lost_H_se,expected_lost,expected_lost_se,weighted_loss,weighted_loss_se,total_cost,total_cost_se,cost_per_therapy,cost_per_therapy_se,mean_hold_H,mean_hold_M,mean_hold_L,treated,lost,failures,recollections,spillover,spillover_share,lost_gate_recollection,lost_k_remake,lost_backstop,idle_slot_days,n_rep
fifo,0.0,0.0,3.0682954062822048,0.08452560385117366,4.732710804772823,0.10453562779512282,12.109684010401127,0.2824577459152472,8738838.933333334,18414.185228618448,87536.11479124581,203.52532352418433,7.088888888888889,5.466666666666667,5.792222222222223,99.83333333333333,0.16666666666666666,16.166666666666668,16.0,1.4333333333333333,0.014333333333333333,0.03333333333333333,0.13333333333333333,0.0,0.0,30
survival_index,0.8900543733840031,0.8881738830236396,2.400460467220184,0.05642545746025825,4.061902865382395,0.07108564402909044,9.948966048372323,0.18033006561382797,8739783.533333335,18707.944113746573,87515.61958653199,196.49253528822746,0.8866666666666667,2.2116666666666664,16.574444444444445,99.86666666666666,0.13333333333333333,16.166666666666668,16.033333333333335,1.4,0.014,0.0,0.13333333333333333,0.0,0.0,30
static_survival,0.0639095873980498,0.08827100917148005,3.020342093898399,0.13707148210734957,4.681314112394501,0.1479076102034113,11.894941425994206,0.4256157219307461,8728030.333333334,16763.761535186022,87755.41835337569,244.24753232756743,4.572222222222222,4.1625,10.357777777777779,99.46666666666667,0.5333333333333333,16.166666666666668,15.633333333333333,1.1666666666666667,0.011666666666666667,0.4,0.13333333333333333,0.0,0.0,30
adaptive_mpc,0.8900543733840031,0.888124813626103,2.400460467220184,0.056364496244346814,4.062136410007888,0.07096243090687449,9.949085422664531,0.18012202557252344,8739783.533333335,18707.944113746573,87515.61958653199,196.49253528822746,0.8866666666666667,2.209166666666667,16.59888888888889,99.86666666666666,0.13333333333333333,16.166666666666668,16.033333333333335,1.4,0.014,0.0,0.13333333333333333,0.0,0.0,30
best_achievable,1.0,1.0,2.3179649107160745,0.05463204748481607,3.9892487275795827,0.06928552930449738,9.676919432058652,0.17377517140842091,8729739.000000002,19218.720842909945,87414.15965387206,187.70406001064038,0.09333333333333332,1.4816666666666667,19.694444444444446,99.86666666666666,0.13333333333333333,15.766666666666667,15.766666666666667,3.0,0.030000000000000002,0.0,0.0,0.0,18.6,30
