fail_rate,policy,expected_lost_H,expected_lost_H_se,expected_lost,expected_lost_se,total_cost,total_cost_se,cost_per_therapy,cost_per_therapy_se,mean_hold_H,mean_hold_M,mean_hold_L,treated,lost,failures,recollections,spillover,spillover_share,lost_gate_recollection,lost_k_remake,lost_backstop,idle_slot_days,n_rep
0.0,fifo,5.085564960028191,0.0,7.968410635486031,0.0,15218411.8,0.0,76092.05900000002,0.0,5.816666666666666,5.0625,5.066666666666666,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
0.0,static_survival,3.8488017038510733,0.0,6.7539182833428,0.0,15218411.8,0.0,76092.05900000002,0.0,0.0,2.5625,14.216666666666667,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
0.0,adaptive_mpc,3.8488017038510733,0.0,6.704451916428435,0.0,15218411.8,0.0,76092.05900000002,0.0,0.0,1.7125,15.35,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
0.05,fifo,5.728612682530795,0.06350082545998545,9.153577874494344,0.1132040331603685,15465228.666666666,11461.39745303331,77481.70433362266,69.95378185599387,7.608888888888888,6.592083333333333,6.704444444444444,199.6,0.4,9.9,9.5,0.8666666666666667,0.004333333333333333,0.0,0.4,0.0,0.0,30
0.05,static_survival,4.607253897487284,0.1046794299852547,8.555736040384238,0.21683418228043239,15446056.233333332,9447.294186688945,77699.26312481124,104.059256771459,1.491111111111111,3.7804166666666665,15.604999999999999,198.8,1.2,9.833333333333334,9.5,0.4666666666666667,0.0023333333333333335,0.0,0.3333333333333333,0.8666666666666667,0.0,30
0.05,adaptive_mpc,4.16951420979885,0.05531472345130496,8.555657061308477,0.24643694392480417,15439723.033333333,8808.681611751163,77772.7328194486,115.56099053571369,0.19555555555555554,2.13375,18.477777777777778,198.53333333333333,1.4666666666666666,9.766666666666667,9.466666666666667,0.7333333333333333,0.0036666666666666666,0.0,0.3,1.1666666666666667,0.0,30
0.1,fifo,6.80383244250477,0.12005602914988464,11.613000577545028,0.2573381109617136,15710620.5,16185.359172785415,79391.00431606453,145.15712564087124,9.56611111111111,8.272083333333333,8.572222222222223,197.9,2.1,21.133333333333333,19.033333333333335,2.6666666666666665,0.013333333333333334,0.0,2.1,0.0,0.0,30
0.1,static_survival,6.243719480955942,0.2065840334248541,11.993021595459744,0.3589345837471544,15657399.366666667,12589.878199102546,79962.13681840747,185.49874681601202,3.158333333333333,5.212083333333334,16.566666666666666,195.83333333333334,4.166666666666667,20.766666666666666,19.033333333333335,1.4,0.007,0.0,1.7333333333333334,2.433333333333333,0.0,30
0.1,adaptive_mpc,4.892895664470753,0.10953626291452015,12.253944391566254,0.4237845137878208,15643349.766666668,12045.125691168758,80179.78299651547,203.96602322551925,0.3188888888888889,2.595833333333333,21.779444444444444,195.13333333333333,4.866666666666666,20.766666666666666,18.833333333333332,1.6666666666666667,0.008333333333333333,0.0,1.9333333333333333,2.933333333333333,0.0,30
0.15,fifo,7.905459540075211,0.14851883744946212,14.28859717499617,0.3243483239460351,15961583.8,20336.35485720489,81457.9348210981,194.70034825348603,11.642777777777779,10.06625,10.54,195.96666666666667,4.033333333333333,32.86666666666667,28.833333333333332,6.866666666666666,0.034333333333333334,0.0,4.033333333333333,0.0,0.0,30
