target_load,offered_load,arrival_span_days,policy,expected_lost_H,expected_lost_H_se,expected_lost,expected_lost_se,weighted_loss,weighted_loss_se,total_cost,total_cost_se,cost_per_therapy,cost_per_therapy_se,mean_hold_H,mean_hold_M,mean_hold_L,treated,lost,failures,recollections,spillover,spillover_share,lost_gate_recollection,lost_k_remake,lost_backstop,idle_slot_days,n_rep
0.7,0.6993,143,fifo,4.5148075185499845,0.027912478997833466,7.116613231668583,0.05840668270119729,18.146230795166577,0.1347358868380965,15641703.0,15104.190090063803,78234.89968643217,83.98140256542382,1.6638888888888888,1.0408333333333333,0.9972222222222222,199.93333333333334,0.06666666666666667,16.333333333333332,16.266666666666666,45.6,0.228,0.0,0.06666666666666667,0.0,0.0,30
0.7,0.6993,143,survival_index,4.254671663721551,0.02369541343644444,6.880324612759023,0.05534768270322877,17.370812635346795,0.12332301919735877,15641703.0,15104.190090063803,78234.89968643217,83.98140256542382,0.44222222222222224,0.8441666666666666,2.501111111111111,199.93333333333334,0.06666666666666667,16.333333333333332,16.266666666666666,45.46666666666667,0.22733333333333333,0.0,0.06666666666666667,0.0,0.0,30
0.7,0.6993,143,static_survival,4.348365706481962,0.0406224956481431,6.968882310704208,0.06270187051280578,17.6555211518148,0.15429815658990262,15640758.4,15210.083112410555,78243.2234082077,83.69523904281078,0.7938888888888889,0.94,2.0105555555555554,199.9,0.1,16.333333333333332,16.233333333333334,46.233333333333334,0.23116666666666666,0.03333333333333333,0.06666666666666667,0.0,0.0,30
0.7,0.6993,143,adaptive_mpc,4.254582789723641,0.02361942592348666,6.8803896016173525,0.055220890395615424,17.370648077208667,0.12279041394150135,15641703.0,15104.190090063803,78234.89968643217,83.98140256542382,0.44166666666666665,0.84375,2.5083333333333333,199.93333333333334,0.06666666666666667,16.333333333333332,16.266666666666666,45.9,0.22949999999999998,0.0,0.06666666666666667,0.0,0.0,30
0.85,0.8475,118,fifo,4.78242272519783,0.03205567288239513,7.521072978667354,0.06495718836259445,19.188792556628062,0.15234148602706554,15641703.0,15104.190090063803,78234.89968643217,83.98140256542382,2.936111111111111,2.1266666666666665,2.1883333333333335,199.93333333333334,0.06666666666666667,16.333333333333332,16.266666666666666,14.7,0.0735,0.0,0.06666666666666667,0.0,0.0,30
0.85,0.8475,118,survival_index,4.265788293983325,0.023598812262225672,7.008527073068204,0.05740592380509902,17.5330874706785,0.12705561505084598,15641703.0,15104.190090063803,78234.89968643217,83.98140256542382,0.495,0.9695833333333332,6.206111111111111,199.93333333333334,0.06666666666666667,16.333333333333332,16.266666666666666,16.966666666666665,0.08483333333333333,0.0,0.06666666666666667,0.0,0.0,30
0.85,0.8475,118,static_survival,4.474708984897243,0.05406810480494123,7.221588999747348,0.07522200922688436,18.2096243749441,0.19500222678464246,15639813.8,15363.953968755017,78251.52712663317,82.96809195008204,1.3255555555555556,1.4691666666666667,4.737777777777778,199.86666666666667,0.13333333333333333,16.333333333333332,16.2,14.733333333333333,0.07366666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,30
0.85,0.8475,118,adaptive_mpc,4.2654190320113905,0.023689746153909813,7.0074844674931525,0.05774862161974884,17.5304306974593,0.12787121051776107,15641703.0,15104.190090063803,78234.89968643217,83.98140256542382,0.49333333333333335,0.9604166666666667,6.213333333333334,199.93333333333334,0.06666666666666667,16.333333333333332,16.266666666666666,16.933333333333334,0.08466666666666667,0.0,0.06666666666666667,0.0,0.0,30
1.0,1.0,100,fifo,5.265587312324092,0.04495169603511313,8.242539739391013,0.08755497774130824,21.059449805594106,0.21155696960002435,15641703.0,15104.190090063803,78234.89968643217,83.98140256542382,5.2444444444444445,4.060416666666667,4.134444444444444,199.93333333333334,0.06666666666666667,16.333333333333332,16.266666666666666,5.366666666666666,0.026833333333333334,0.0,0.06666666666666667,0.0,0.0,30
1.0,1.0,100,survival_index,4.307334544624298,0.025297780410269918,7.293722994033126,0.06651064059219254,17.98775757375886,0.14108282332869865,15641703.0,15104.190090063803,78234.89968643217,83.98140256542382,0.6905555555555555,1.8854166666666667,11.770000000000001,199.93333333333334,0.06666666666666667,16.333333333333332,16.266666666666666,5.2,0.026000000000000002,0.0,0.06666666666666667,0.0,0.0,30
1.0,1.0,100,static_survival,4.752620926848198,0.09089085156492678,7.741608652361442,0.10972767194642595,19.413651727821478,0.3010706692386672,15635804.733333332,15116.633764954247,78284.0201331523,87.70532207674147,2.283888888888889,2.875,8.75,199.73333333333332,0.26666666666666666,16.333333333333332,16.066666666666666,4.966666666666667,0.024833333333333332,0.2,0.06666666666666667,0.0,0.0,30
1.0,1.0,100,adaptive_mpc,4.309077189849615,0.025502874548789432,7.293920806999679,0.06566631612615711,17.99004197448513,0.13873151265876513,15641703.0,15104.190090063803,78234.89968643217,83.98140256542382,0.6994444444444444,1.87,11.76388888888889,199.93333333333334,0.06666666666666667,16.333333333333332,16.266666666666666,5.133333333333334,0.025666666666666667,0.0,0.06666666666666667,0.0,0.0,30
1.15,1.1494,87,fifo,6.26031757247012,0.06385913500614464,9.73106374486149,0.1066434628728355,24.91018258301533,0.2661937084261553,15639738.466666667,15356.016272587909,78251.15212160804,83.00777534762192,9.814444444444444,8.019583333333333,8.389444444444445,199.86666666666667,0.13333333333333333,16.333333333333332,16.2,4.166666666666667,0.020833333333333332,0.06666666666666667,0.06666666666666667,0.0,0.0,30
1.15,1.1494,87,survival_index,4.2291711962293395,0.026718920717748236,7.6716349301499935,0.07280888470240889,18.279940493306473,0.1491798357972188,15641703.0,15104.190090063803,78234.89968643217,83.98140256542382,0.32944444444444443,2.6391666666666667,25.491111111111113,199.93333333333334,0.06666666666666667,16.333333333333332,16.266666666666666,4.233333333333333,0.021166666666666667,0.0,0.06666666666666667,0.0,0.0,30
1.15,1.1494,87,static_survival,5.18966175973419,0.1408391057671989,8.731297346718584,0.15709273359782877,21.5932019861111,0.44611734269912245,15627235.333333334,14214.401480215982,78359.66643946657,99.91997076587133,3.5688888888888886,6.34,17.12777777777778,199.43333333333334,0.5666666666666667,16.333333333333332,15.766666666666667,3.6333333333333333,0.018166666666666668,0.5,0.06666666666666667,0.0,0.0,30
1.15,1.1494,87,adaptive_mpc,4.230146874303553,0.026726989374295088,7.671781917744942,0.07276521403941369,18.28240572400922,0.14902500110676647,15641703.0,15104.190090063803,78234.89968643217,83.98140256542382,0.33444444444444443,2.6429166666666664,25.448333333333334,199.93333333333334,0.06666666666666667,16.333333333333332,16.266666666666666,4.233333333333333,0.021166666666666667,0.0,0.06666666666666667,0.0,0.0,30
1.3,1.2987,77,fifo,7.375765199630165,0.10804307606551843,11.375155297386248,0.14327678767251847,29.181153815967836,0.3844416537640802,15633163.6,14409.679745131096,78310.44585056427,95.0874540943996,14.47111111111111,12.250416666666666,13.06388888888889,199.63333333333333,0.36666666666666664,16.333333333333332,15.966666666666667,3.7333333333333334,0.018666666666666668,0.3,0.06666666666666667,0.0,0.0,30
1.3,1.2987,77,survival_index,4.301815494697538,0.02730378169108579,8.248986570933315,0.07464721844066903,19.156557833805746,0.1550004800691228,15641703.0,15104.190090063803,78234.89968643217,83.98140256542382,0.6694444444444444,4.3125,37.99722222222223,199.93333333333334,0.06666666666666667,16.333333333333332,16.266666666666666,3.966666666666667,0.01983333333333333,0.0,0.06666666666666667,0.0,0.0,30
