rung,status,mip_gap,wall_s,expected_lost,weighted_loss,total_cost,mean_TRT,mean_HOLD,max_TRT,n_over_ND,mean_HOLD_H,expected_lost_H,mean_HOLD_M,expected_lost_M,mean_HOLD_L,expected_lost_L,opened,lives_saved_vs_FIFO,added_cost_vs_prev,cost_per_life_this_rung,comparable,cost_below_tolerance
FIFO reference,constructed,,,9.019628027443014,23.142398723153814,14908755.8,25.8,6.8,42,0,7.5,5.827326375736588,6.6875,2.468117944237623,6.25,0.7241837074688028,m1+m3,0.0,,,True,
+ Reorder queue,optimal,1.4046726074662028e-16,12.8,8.001473657974731,19.725685652338516,14908755.8,26.215,7.215,42,0,2.0833333333333335,4.686024866960779,5.475,2.3521622604422516,14.666666666666666,0.9632865305717003,m1+m3,1.0181543694682826,0.0,,True,True
+ Expedite shipping,optimal,8.159773904464861e-07,18.4,7.1998383241156105,17.565823951076023,15303623.8,24.27,6.67,42,0,1.1333333333333333,4.090933291925094,5.0375,2.1841190431102344,14.383333333333333,0.924785989080282,m1+m3,1.8197897033274035,394868.0,492578.0879681059,True,False
+ Open a plant,optimal,0.0,162.6,6.037300871529854,15.333997063829397,20113864.8,17.81,0.655,34,0,0.0,3.8198725227939008,0.0125,1.6569511467117544,2.1666666666666665,0.5604772020241992,m3+m6,2.9823271559131603,4810241.0,4137708.414727536,True,False
