n,CON1,time_limit_s,cost_total_cost,cost_expected_lost,cost_expected_lost_H,cost_opened,cost_capacity_opened,cost_mean_HOLD,cost_mean_HOLD_H,cost_mean_HOLD_L,cost_mean_TRT,cost_status,cost_gap,cost_wall_s,survival_total_cost,survival_expected_lost,survival_expected_lost_H,survival_opened,survival_capacity_opened,survival_mean_HOLD,survival_mean_HOLD_H,survival_mean_HOLD_L,survival_mean_TRT,survival_status,survival_gap,survival_wall_s,lives_saved_by_scheduling,lives_saved_high_risk,cost_premium
200,2,900,14908755.8,9.880341904812953,6.3308279679419694,m1+m3,14,9.34,9.966666666666667,7.8,28.34,optimal,0.0,579.0809755325317,14953836.8,7.2383483845068,4.170052394113541,m1+m3,14,5.455,0.03333333333333333,13.95,24.29,optimal,9.884754269776591e-05,276.46746706962585,2.641993520306153,2.1607755738284284,45081.0
200,3,900,14909755.8,9.562845518132242,6.361282248599462,m1+m3,14,7.275,10.133333333333333,4.233333333333333,26.27,optimal,6.707017964694883e-05,216.65753388404846,14954836.8,7.2334880482134025,4.170038482409384,m1+m3,14,5.45,0.05,14.016666666666667,24.28,optimal,9.979938115995016e-05,106.33536314964294,2.3293574699188397,2.1912437661900777,45081.0
200,4,900,14908755.8,9.690872306606545,6.351545107030581,m1+m3,14,7.85,10.05,4.333333333333333,26.85,optimal,0.0,362.364324092865,14953836.8,7.233970865791919,4.16645021212115,m1+m3,14,5.45,0.03333333333333333,13.95,24.285,optimal,5.0064105472138754e-05,264.85655450820923,2.456901440814626,2.1850948949094304,45081.0
200,5,900,14910016.8,9.478555355284447,6.078003231235523,m1+m3,14,7.7,8.75,4.2,26.7,optimal,8.45740160397589e-05,370.89329528808594,14952836.8,7.239660668046038,4.17005239411354,m1+m3,14,5.45,0.03333333333333333,13.9,24.29,optimal,8.831161259182613e-05,279.6039402484894,2.2388946872384095,1.9079508371219829,42820.0
200,6,900,14909171.8,9.403969839081086,6.103941219972722,m1+m3,14,7.33,8.866666666666667,4.333333333333333,26.33,optimal,2.790228763746622e-05,156.64086437225342,14953836.8,7.234220293583517,4.166450212121151,m1+m3,14,5.45,0.03333333333333333,13.95,24.285,optimal,8.535691396688366e-05,97.91529083251953,2.1697495454975684,1.9374910078515706,44665.0
