day,facility,free_slots,n_start,n_waiting,contested,fifo,survival_index,adaptive_mpc,agree_index_vs_mpc,agree_fifo_vs_mpc,obj_mpc_choice,obj_index_choice
60,m3,1,1,66,True,p4r2,p37r0,p37r0,True,False,,
61,m1,1,1,30,True,p7r3,p37r2,p37r2,True,False,,
61,m3,2,2,69,True,p25r1|p4r2,p44r3|p6r2,p44r3|p6r2,True,False,,
62,m3,3,3,67,True,p25r1|p38r1|p4r2,p18r0|p35r0|p35r1,p18r2|p35r0|p35r1,False,False,0.210062998848505,0.210062998848505
63,m1,1,1,31,True,p7r3,p37r3,p37r3,True,False,,
63,m3,1,1,65,True,p4r2,p29r0,p29r0,True,False,,
64,m3,2,2,64,True,p25r1|p4r2,p18r0|p39r0,p18r0|p39r0,True,False,,
66,m1,2,2,31,True,p25r2|p7r3,p37r1|p44r0,p37r1|p44r0,True,False,,
66,m3,1,1,65,True,p4r2,p21r2,p21r2,True,False,,
67,m3,1,1,64,True,p4r2,p18r1,p39r1,False,False,0.10570645942368673,0.10570645942368673
68,m1,1,1,32,True,p7r3,p15r3,p15r3,True,False,,
68,m3,2,2,67,True,p25r1|p4r2,p21r1|p47r0,p21r1|p47r3,False,False,0.16691735890422377,0.16691735890422377
69,m3,3,3,66,True,p25r1|p38r1|p4r2,p18r1|p21r0|p47r0,p18r3|p21r0|p47r0,False,False,0.156433951075168,0.156433951075168
70,m1,1,1,32,True,p7r3,p6r0,p6r0,True,False,,
70,m3,1,1,64,True,p4r2,p47r2,p47r2,True,False,,
71,m3,2,2,64,True,p25r1|p4r2,p18r1|p48r1,p39r3|p48r1,False,False,0.13826727406463668,0.13826727406463668
73,m1,2,2,31,True,p25r2|p7r3,p24r0|p47r1,p24r0|p47r1,True,False,,
73,m3,1,1,62,True,p4r2,p18r1,p18r1,True,False,,
74,m3,1,1,61,True,p4r2,p39r2,p39r2,True,False,,
75,m1,1,1,30,True,p7r3,p44r2,p44r2,True,False,,
75,m3,2,2,60,True,p25r1|p4r2,p11r2|p42r1,p11r2|p42r1,True,False,,
76,m3,3,3,58,True,p25r1|p38r1|p4r2,p11r3|p42r2|p42r3,p11r3|p42r2|p42r3,True,False,,
77,m1,1,1,30,True,p7r3,p13r3,p13r3,True,False,,
77,m3,1,1,55,True,p4r2,p11r0,p11r1,False,False,0.07581203849367912,0.07581203849367912
78,m3,2,2,55,True,p25r1|p4r2,p11r0|p35r0,p11r0|p35r0,True,False,,
