setting,delta_remake_days,on_time_H_lost,sickest_first_H_lost,H_normal_wait_lost,H_after_failure_lost,share_from_normal_wait_H,cost_per_patient_MUSD
observed_12d,12,4.540,1.972,2.890,1.650,0.637,0.621
full_cycle_T_V2V,28,4.600,2.172,2.890,1.710,0.628,0.630
